postal_code,coordinates
36880-000,"(-21.13138085, -42.37999285)"
39680-000,"(-17.69573996153846, -42.52263627307692)"
35167-000,"(-19.395543814285713, -42.54155707142857)"
35160-000,"(55.73413917999999, 24.34803798)"
35163-000,"(55.7341522, 24.34225215)"
35162-000,"(55.73386645, 24.343461)"
35171-000,"(50.39851086666667, 25.386256833333334)"
36700-000,"(33.8900241, -95.6258916)"
36520-000,"(-21.01116935, -42.84386745)"
39740-000,"(-18.771381759615384, -42.93106533173077)"
39670-000,"(-17.89602125, -42.86607255)"
36570-000,"(-20.75659658888889, -42.87701872222222)"
36500-000,"(-21.113375966666666, -42.949490555555556)"
39520-000,"(-15.7801032, -43.01597132)"
35931-000,"(42.823555, -1.6112236)"
35900-000,"(3.693136396551724, 101.5158864)"
35420-000,"(-20.37754426153846, -43.41697186923077)"
39440-000,"(-15.8045457, -43.307046)"
36240-000,"(47.0740383, 1.3594747)"
35400-000,"(-20.386473898876403, -43.50375595393258)"
39100-000,"(-18.08740508935065, -43.60026487)"
34800-000,"(45.4276068, 9.1731317)"
39508-000,"(-15.3324306, -43.6718436)"
36420-000,"(-20.5183571, -43.69924325)"
39390-000,"(-17.168833753846155, -43.849989746153845)"
36200-008,"(33.740985, -95.844092)"
36400-000,"(-20.664332525, -43.794005875)"
35450-000,"(-20.2685387, -43.80908818)"
39402-000,"(49.4441666, 34.87)"
39400-000,"(46.52435537105263, 6.016889634210526)"
36415-000,"(-20.505839066666667, -43.8654647)"
39403-000,"(36.0915409375, 128.40545254583333)"
39401-000,"(31.300930889846455, -89.30067896359584)"
33400-000,"(-19.6342482, -43.90086157142857)"
30120-010,"(-19.9057784, -43.8966121)"
30110-017,"(-19.938042, -43.9256056)"
30110-042,"(-19.9399568, -43.9362304)"
33200-000,"(-19.750819625, -43.9541958)"
31270-705,"(53.5142351, 10.016123882486694)"
30110-051,"(50.6168929, 16.1266369)"
30180-001,"(-19.9259838, -43.9512866)"
32140-000,"(36.7805269, 34.5343618)"
35720-000,"(-19.5606108, -44.0810281)"
33600-000,"(30.62387295, 104.0779449438704)"
32400-000,"(-19.9982897, -44.0998626)"
32450-000,"(-20.03640845, -44.14307835)"
35460-000,"(-20.145132497959185, -44.18952180408163)"
32671-072,"(-19.9460832, -44.1114145)"
35701-000,"(50.52502804615384, 26.230976646153845)"
35740-000,"(-19.747360033333333, -44.15795326666667)"
35700-000,"(48.12615695286344, -1.6501402656387665)"
32920-000,"(-20.049662442857144, -44.260402385714286)"
35740-000,"(48.15169206824302, -1.7741946233497539)"
32900-000,"(-20.072017541666664, -44.3079686)"
35790-000,"(-18.762176805555555, -44.42978575555556)"
35661-000,"(50.251209, 26.015514)"
35680-000,"(48.00640353253012, -1.2704985578313255)"
35660-000,"(50.333880439999994, 25.933921259999998)"
39260-000,"(-17.538474833333336, -44.74842428333333)"
35540-000,"(-20.696241575, -44.827414809375)"
35500-000,"(4.095694381818182, 101.27439356363637)"
39300-000,"(-15.949924976923079, -44.85601796153846)"
39270-000,"(-17.34084495, -44.93538514166667)"
35501-000,"(48.1210674, -1.209564)"
39480-000,"(-15.485129466666665, -44.3909072)"
35502-000,"(48.120294, -1.2095478)"
35519-000,"(-19.8773427375, -44.9866071734375)"
37470-000,"(-22.117491208695654, -45.05639029565217)"
37200-000,"(-21.235586617582417, -44.99502603406593)"
37410-000,"(-21.698326095, -45.26442853)"
37270-000,"(-20.89377651462264, -45.27076633561321)"
35600-000,"(-19.74035309281437, -45.2545220239521)"
35590-000,"(-20.019582833333335, -45.5452504)"
37190-000,"(-21.37005243076923, -45.49606366923077)"
35570-000,"(-20.466017782352942, -45.43449813529411)"
35588-000,"(-20.28021758181818, -45.54174421818182)"
37170-000,"(-21.089479749099098, -45.56997631171171)"
37540-000,"(-22.251692090909092, -45.70585671818182)"
37750-000,"(-21.6821369125, -45.907428475)"
38770-000,"(-17.7398543, -46.1745797)"
37550-000,"(-22.24045767142857, -45.922843)"
37130-000,"(-21.42342055, -45.9610925)"
38800-000,"(-19.326394055555554, -46.0644172)"
37925-000,"(-20.466297025, -45.968713075)"
37640-000,"(-22.853333509523807, -46.320426361904765)"
38702-000,"(20.2950648, -100.74795596666667)"
37795-000,"(-22.0790677, -46.5763954)"
37900-000,"(21.292845457142857, -100.51874560714285)"
37800-000,"(-21.30440751025641, -46.71174357692308)"
38610-000,"(-16.33171306, -46.85079423)"
38600-000,"(-17.21874000326087, -46.871041756521734)"
37950-000,"(-20.91749302972973, -46.98264399459459)"
38740-000,"(-18.94588645, -46.99446625)"
38500-000,"(-18.77104907473397, -47.47457014084584)"
38408-000,"(48.0677576, 11.691092)"
38410-000,"(55.775766768, 24.36680674)"
38405-000,"(35.9521079, 128.77594698)"
38400-000,"(45.18245076567164, 5.760662200995025)"
38401-000,"(49.006154022123894, 14.054742128318583)"
38413-000,"(49.6418847140625, 34.1426785484375)"
38415-000,"(49.6030901, 34.17340614)"
38200-000,"(-20.0260374, -48.93216627142857)"
38280-000,"(-19.680846974418603, -50.41708616046512)"
83280-000,"(-25.888011985714286, -48.66067679285714)"
83430-000,"(-25.3289277, -49.065483855555556)"
83404-000,"(36.649626, -80.653169)"
82590-100,"(46.6409028, 16.0399848)"
82590-300,"(-25.4791247, -49.26601481666667)"
82860-140,"(45.9663607, 14.2980772)"
80610-270,"(34.2018934, -118.5863896)"
81020-490,"(-25.47724792857143, -49.32165134285714)"
83540-000,"(-25.1888791625, -49.313568275)"
84200-000,"(-30.142046, 30.8255067)"
83750-000,"(-25.77011482380952, -49.717777266666666)"
86400-000,"(-23.138696094701988, -49.96093626423841)"
86430-000,"(-23.291446775, -50.0673307)"
84043-450,"(40.3928957, -111.882204)"
83900-000,"(-25.87827858, -50.387961739999994)"
86300-000,"(-23.18117267279412, -50.647635715441176)"
84500-000,"(-25.4696169625, -50.6458192875)"
86200-000,"(-23.271006889118198, -51.0523815478424)"
84600-000,"(-26.22696105, -51.085775175)"
84400-000,"(-25.211809643902438, -50.98122020731707)"
86030-030,"(-23.268490766666666, -51.14938506666667)"
86079-080,"(34.395311199999995, 4.994384673542294)"
86600-000,"(-23.31473918181818, -51.37829937272728)"
85555-000,"(-26.48289672, -51.99888082)"
86990-000,"(-29.5843496, 31.0556024)"
87035-510,"(-30.0206308, 30.6976783)"
87140-000,"(-23.4611851, -52.0391384)"
87200-000,"(-23.6741302, -52.611969)"
85660-000,"(-25.746562863636363, -53.0590488909091)"
85884-000,"(-25.28926448125, -54.08881400625)"
85960-000,"(-24.548176106849315, -54.061623287328764)"
58310-000,"(-7.029941366666667, -34.8332647)"
58070-000,"(19.683312144444447, -101.1869498)"
58087-000,"(19.6682416, -101.22325655)"
58303-000,"(55.47166475, 23.87932225)"
58280-000,"(-6.83742795, -35.12727574166667)"
58340-000,"(-7.093511133333333, -35.22664843333333)"
58200-000,"(-6.8555008285714285, -35.488391428571425)"
58400-000,"(50.76990944665568, 16.027124055255353)"
58475-000,"(-7.367263033333333, -35.90436379166667)"
58500-000,"(-7.8896826, -37.11966425)"
58865-000,"(-6.5047672, -37.4497367)"
58900-000,"(-6.885959521428572, -38.55709732857143)"
68617-000,"(-46.62197, -68.82326)"
68620-000,"(-1.1469997, -46.3362415)"
68610-000,"(-1.0230826333333334, -46.63614903333333)"
68600-000,"(-1.0708415423076925, -46.76997596538462)"
68650-000,"(-1.7390485333333332, -47.0586969)"
68721-000,"(-0.6308036, -47.34463886666667)"
68625-000,"(-12.12311055, -44.9575524)"
68632-000,"(-3.7554588, -47.502330375)"
68725-000,"(-1.1275265, -47.6215124)"
68660-000,"(-1.62078545, -47.48079625)"
68658-000,"(-46.5262, -68.87048)"
66633-000,"(57.895395928571425, 26.683796414285712)"
68750-000,"(-0.7351968113636363, -47.85392433863636)"
68633-000,"(-4.2853889, -47.5427582)"
68637-000,"(-2.5578179, -47.50050664)"
